Ime,Priljubljenost,Cena [£],Vrsta izdelka,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Taytem Baby Sweater,395,3.73,Cardigans,Independent Designer,Jen Dwyer,English,1,12,Intermediate
Rainbow Reflections Baby Blanket - US Terms,396,5.00,Homeware,Independent Designer,Emkatcrochet,English,1,,Beginner
Little Loops baby beanie hat,397,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Baby Corgi in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,398,0.00,Baby Corgi in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,Lion Brand,,English,1,7,Beginner
Rainbow Drops Cardigan,399,4.80,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,23,Intermediate
Crocheted Wrap in Schachenmayr Catania - S9026 - Downloadable PDF,400,0.00,Shawls,Schachenmayr,,Dutch|English|French|German,1,2,
Penguin,401,0.00,Toys,Independent Designer,The Woobles,English,1,,Beginner
Gingerbread Man and Woman,402,4.37,Toys,Independent Designer,Super Cute Design,English,1,,Intermediate
Crochet Blanket in Bernat Baby Coordinates Solids,403,0.00,Blankets,Bernat,,English,1,,
Sweet Heart Baby Hat and Mittens,404,1.50,Hats,Independent Designer,Marianna's Lazy Daisy Designs,English,1,,Intermediate
Minion Tim by AradiyaToys,405,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Russian,1,23,Intermediate
Lightweight lacy cardigan,406,2.23,Cardigans,Independent Designer,AlenaCharity Limbithu,English,1,6,Beginner
Simply Pretty Cardigan,407,5.22,Cardigans,Independent Designer,Auburn Threads,English,1,6,Beginner
Edward the snail - critter stitch crochet pattern / amigurumi,408,3.61,Toys,Independent Designer,Critter Stitch,English,1,9,Intermediate
Sunshine and Daisies Cardigan - Free Crochet Pattern for Women in Paintbox Yarns Wool Blend Super Chunky,409,0.00,Cardigans,Paintbox Yarns,,English,1,4,Intermediate
Tommy and Tammy Tortoise,410,3.50,Toys,Independent Designer,Moji-Moji Design,English,1,11,Intermediate
Liquorice Rose Blanket & Cushion Set in West Yorkshire Spinners ColourLab - Downloadable PDF,411,3.75,Blankets,West Yorkshire Spinners,Emma Leith,English,1,6,Intermediate
2-in-1 Crochet Autumn Fall Pumpkin Throw Blanket,412,4.50,Homeware,Independent Designer,Doodlepipmakes,English,1,17,Intermediate
Greer Cardi Kids,413,2.69,Cardigans,Independent Designer,isWoolish,English,1,,Beginner
Rihanna Baby Cardigan,414,3.27,Cardigans,Independent Designer,Lisas Crochet Designz,English,1,17,Intermediate
Beatrice the Bat MODIFICATION,415,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,,Beginner
Cleo Crop,416,3.50,Tops,Independent Designer,Manatee_Squares,English,1,18,Intermediate
Tulip Square,417,3.49,Tulip Square,Independent Designer,Wilma Westenberg,English,1,4,Intermediate
Miss Santa for Barbie,418,4.60,Toys,Independent Designer,Oksana Lifenko,English|Russian,1,8,Advanced
Crochet pattern Highland Hats #333,419,5.29,Accessories,Independent Designer,ShiFio's Patterns,English,1,8,Intermediate
Cuddly Caterpillars in Bernat Handicrafter Cotton Solids,420,0.00,Toys,Bernat,,English,1,,
Baby bubble beanie hat,421,2.61,Baby Hats,Independent Designer,yayacreative,English,1,,Beginner
Hayfield Day Tripper CAL Week 4 - Flower Power - 10638P - Downloadable PDF,422,3.85,Blankets,Hayfield,Katie Jones,English,1,,Intermediate
MIRA Bag,423,3.06,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Not your granny's Skirt,424,0.00,Not your granny's Skirt,Independent Designer,brandi isham,English,1,,Beginner
Powder,425,3.73,Homeware,Independent Designer,Katya Novikova,English,1,,Beginner
"Crochet Heart,Crochet Hearts Patterns,Free Crochet Patterns",426,0.00,Toys,Independent Designer,Kathy Leung,English,1,8,Beginner
Cumberland Tank in Lion Brand Color Theory - v1653487403911 - Downloadable PDF,427,0.00,Tops,Lion Brand,Two of Wands,English,1,10,Beginner
Colour me happy blanket,428,4.50,Homeware,Independent Designer,Eight-by-Six,English,1,7,Beginner
Baby Cable Beanie,429,2.49,Hats,Independent Designer,Ardree Designs,English,1,2,Intermediate
Fun Stripe baby beanie hat,430,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Plush graduation owl amigurumi,431,5.23,Accessories,Independent Designer,KidUnique Crochet,English,1,,Intermediate
Crochet Boho Tassel Bikini Top,432,3.68,Tops,Independent Designer,Rhinestone Mumma Crochet,English,1,25,Intermediate
Simplest Twist Crochet Headband,433,0.00,Headbands,Independent Designer,Doraly Crochet,English,1,2,Beginner
Sensory Learning Toy Crochet Pattern,434,3.00,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
White Lace Sweater,435,5.92,Jackets,Independent Designer,Tania Skalozub,English|French|German|Italian|Portuguese|Spanish,1,83,Intermediate
Cosplay Bunny - Yellow Rabbit,436,2.61,Toys,Independent Designer,KaiaCrochet,English,1,13,Intermediate
Mini rabbit,437,0.00,Toys,Independent Designer,DziergalniaMarty,English|Polish,1,30,Intermediate
"Gnome - Doorstop, Decoration",438,3.92,Homeware,Independent Designer,patterns by steph,English,1,,Intermediate
Cinnamon Swirl Hat and Scarf Set - Free Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,439,0.00,Hats,Paintbox Yarns,,English,2,4,Intermediate
Sea Shell Earrings,440,2.84,Accessories,Independent Designer,GoldenLucyCrafts,English,1,9,Intermediate
4 Crochet Bag Tutorials,441,7.74,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Handy Dandy Lip Balm Holder,442,0.00,Homeware,Independent Designer,Two Girls Patterns,English,1,2,Intermediate
Lots of Squares Jumper Cardigan,443,5.40,Jumpers,Independent Designer,BabyCrochetDesigns,English,1,21,Intermediate
Caerwyn Romper Set,444,5.00,Booties,Independent Designer,Ready For Cwtches Designs,English,1,10,Intermediate
Purrito Kawaii Cuddler®,445,4.29,Toys,Independent Designer,3amgracedesigns,English,1,,Beginner
Cascading Ripples Blanket in Bernat Baby Coordinates Solids,446,0.00,Blankets,Bernat,,English,1,,
Grannysquare Bucket Hat,447,3.54,Accessories,Independent Designer,Dee's Knotz,English,1,11,Intermediate
Apple Cardigan to 4 Years,448,4.46,Cardigans,Independent Designer,Lisas Crochet Designz,English,1,12,Intermediate
Halley Beaded Pouch,449,6.95,Accessories,Independent Designer,Jane Crowfoot,English,1,,Advanced
Let's Stay Home Blanket,450,3.73,Homeware,Independent Designer,TL Yarn Crafts,English,1,,Beginner
Little Ice Cream Amigurumi Crochet Pattern,451,0.00,Toys,Independent Designer,My New Craft Amigurumis,English,1,5,Intermediate
Mini deer,452,1.79,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Flag of Wales,453,2.62,Homeware,Independent Designer,Pukapuka,English,1,4,Intermediate
Cardigan with Side Fastening Buttons,454,3.00,Cardigans,Independent Designer,ThomasinaC,English,1,,Intermediate
Balls of (almost) Any Size,455,0.00,Toys,Independent Designer,Elise Mann,English,1,7,Beginner
"Granny square cotton top ""MEXICO"" crochet pattern",456,4.10,Tops,Independent Designer,Veronika Ryzhkova,English,1,,Beginner
Money Plant,457,2.50,Homeware,Independent Designer,T Jaik,English,1,,Beginner
Ash,458,3.73,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
"""Summertime Shopper"" - Free Bag Crochet Pattern in Paintbox Yarns Cotton DK",459,0.00,"""Summertime Shopper"" - Free Bag Crochet Pattern in Paintbox Yarns Cotton DK",Paintbox Yarns,,English,1,5,Intermediate
Baby blanket,460,2.62,Homeware,Independent Designer,Inez de Goede,Dutch|English,1,12,Beginner
Olive,461,3.00,Toys,Independent Designer,Beau Tripp,English,1,5,Intermediate
Baby Dragon Amigurumi,462,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
The Shannon Cardy,463,5.95,Cardigans,Independent Designer,FuglyLove Creations,English,1,5,Beginner
Casual Summer Top in Caron Simply Soft - Downloadable PDF,464,0.00,Tops,Caron,Diane Moyer,English,1,4,Beginner
Margo Barbie Jumper,465,2.24,Sweaters,Independent Designer,Ngen's Yarn Story,English,1,28,Intermediate
PDF09 Crochet Dress,466,1.61,Dresses,Independent Designer,Truly Crochet,English,1,,
A Bumpy road to love blanket,467,6.00,Homeware,Independent Designer,Addicted 2 The Hook,English,1,,Beginner
Easy Baby Bear Beanie,468,2.00,Baby Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,,Beginner
Baby Elephant,469,0.75,Baby Elephant,Independent Designer,Kerri's Crochet,English,1,26,Beginner
Baby’s First Cluster Crochet Hat in Caron Simply Soft - Downloadable PDF,470,0.00,Hats,Caron,,English,1,2,Beginner
Colourful Party Hat,471,0.87,Accessories,Independent Designer,Reimy Johanna Designs,English,1,4,Beginner
Citrus Slice Coasters in Lily Sugar 'n Cream Solids - Downloadable PDF,472,0.00,Decorations,Lily Sugar 'n Cream,,English,3,1,Beginner
Granny Triangle Scarf,473,1.14,Accessories,Independent Designer,RaffamusaDesigns,English,1,,Beginner
Hello Kitty Backpack,474,2.91,Accessories,Independent Designer,SweetSamDesign,English,1,9,Intermediate
Crochet purse pattern: The Brown Bliss handbag,475,4.85,Accessories,Independent Designer,Mirrymas,English,1,17,Intermediate
"Cat Crochet Pattern, Crochet Cat Pattern Free,Free Crochet Patterns,Crochet Animals,Crochet For Beginners",476,0.00,Toys,Independent Designer,Kathy Leung,English,1,6,Beginner
Five Currant Buns,477,4.00,Toys,Independent Designer,TatieSoftToys,English,1,21,Intermediate
Halter Ruffle dress,478,7.83,Dresses,Independent Designer,Loster crochets,English,1,30,Intermediate
Teeny Weeny Crochet Cap in Caron Simply Soft - Downloadable PDF,479,0.00,Hats,Caron,,English,1,1,Beginner
Mosaic Goldfish,480,2.98,Toys,Independent Designer,Sweet Softies,English,1,15,Beginner
Creta Top in Adriafil Spice - Downloadable PDF,481,0.00,Tops,Adriafil,,English,1,2,
Plubby the puffin,482,5.65,Toys,Independent Designer,Son's Popkes,English,1,8,Intermediate
Oceana Bikini,483,0.00,Tops,Independent Designer,Emma Adams,English,1,11,Intermediate
Woolly Mammoth Amigurumi,484,5.96,Homeware,Independent Designer,Leisure Arts,English,1,,Intermediate
CROCHET Giraffe Baby Blanket,485,3.40,Homeware,Independent Designer,Pattern World,English,1,6,Intermediate
Lovely Sea Flower Summer Top,486,6.34,Tops,Independent Designer,Jie,English,1,6,Beginner
Ava The Butterfly in Lion Brand Wool Ease - M22281WE - Downloadable PDF,487,0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Carrot,488,2.29,Toys,Independent Designer,Little Conkers,English,1,12,Beginner
Snowbird Tunisian Sweater,489,3.73,Sweaters,Independent Designer,Kristine Mullen,English,1,,Intermediate
Mesmer Tunisian Veils,490,5.75,Accessories,Independent Designer,Vashti Braha,English,1,8,Intermediate
"""Zachary the Frog"" - Free Crochet Pattern For Toys in Paintbox Yarns Simply DK - 011",491,0.00,Toys,Paintbox Yarns,Lucy Collins,English,1,6,Intermediate
Rupert The Bear Crochet Pattern,492,2.50,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
Kosmos Shawl Poncho,493,4.10,Accessories,Independent Designer,Natalia Kononova,English,1,11,Intermediate
Baby Flamingo,494,2.98,Toys,Independent Designer,Michelle Alvarez,English,1,8,Beginner
Crochet Sweater OverSized SYDNEY #1,495,3.58,Sweaters,Independent Designer,ParkaDesigns,English,1,,Intermediate
Chelsea flower show cushion cover,496,5.00,Cushions,Independent Designer,KATE EASTWOOD,English,1,10,Intermediate
Queen Pullover in Adriafil Jumping - Downloadable PDF,497,0.00,Jumpers,Adriafil,,English,1,2,
Grey Bath Mat,498,1.19,Homeware,Independent Designer,Filamira,Danish|English,1,3,Beginner
Crochet Bustier top,499,4.48,Tops,Independent Designer,Fabiana Correa,English,1,11,Intermediate
Idlewild Dress - women's sizes,500,5.60,Dresses,Independent Designer,Jess Coppom Make & Do Crew,English,1,25,Intermediate
Silent Night Cardigan,501,5.96,Cardigans,Independent Designer,Janine Myska,English,1,7,Beginner
309 Reindeer decor,502,2.00,Homeware,Independent Designer,LittleOwlsHut,English,1,19,Beginner
Baby Romper Outfit,503,5.04,Accessories,Independent Designer,Margaret Whisnant,English,1,19,Intermediate
Summer Sweater Top,504,4.52,Jumpers,Independent Designer,Angela Plunkett,English,1,,Intermediate
Tractor Sweater,505,4.85,Sweaters,Independent Designer,Svenjas Stitches,English,1,,Intermediate
EASY BEGINNER' Bobble Baby Blanket,506,2.23,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,,Beginner
Filigree Lace Shrug,507,3.73,Boleros,Independent Designer,Adrienne Lash,English,1,,Intermediate
Tumbling Shells Scarf,508,3.36,Accessories,Independent Designer,Cheryl Chow,English,1,3,Intermediate
Super Simple Cotton Coasters,509,1.87,Homeware,Independent Designer,Island Style Crochet,English,1,2,Beginner
Sun & Rainbow Key Chains Crochet Pattern,510,0.00,Homeware,Independent Designer,Crossmanknits,English,1,,Intermediate
Crochet poppy. Flower brooch. Remembrance poppy,511,3.35,Accessories,Independent Designer,Angelika Liusinska,English,1,13,Intermediate
Taylor Swift The Eras Tour Inspired Poster Blanket,512,6.50,Homeware,Independent Designer,Crochet Bouquet,Diagrams/chartsonly|suitableforalllanguages,1,33,Intermediate
Posh Handbag Mirjana S in Hoooked Zpagetti Solids,513,0.00,Posh Handbag Mirjana S in Hoooked Zpagetti Solids,Hoooked,,English,1,1,Beginner
Penis amigurumi,514,3.36,Toys,Independent Designer,Vitastoys,English,1,19,Intermediate
Like a mermaid maxi skirt,515,5.22,Like a mermaid maxi skirt,Independent Designer,Ana D,English,1,,Beginner
Octopus Swirls,516,6.72,Homeware,Independent Designer,Tessellated Heart,English,1,19,Intermediate
Pocket Mouse Doll,517,2.98,Toys,Independent Designer,Sweet Softies,English,1,,Beginner
Summer Shorts crochet pattern,518,0.00,Summer Shorts crochet pattern,Independent Designer,Sandi Hagan,English,1,,Intermediate
Easy Crochet Bag Pattern,519,2.61,Accessories,Independent Designer,Rhinestone Mumma Crochet,English,1,16,Beginner
Sunny the Elephant,520,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
"Crochet Pattern: Halloween Characters – Scarecrow, Skeleton, Witch, Mummy and Zombie Crochet Dolls (English)",521,3.90,Toys,Independent Designer,Kristine Kuluka,English,1,31,Intermediate
Mario by AradiyaToys,522,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Polish|Portuguese|Russian|Spanish|Swedish,1,33,Intermediate
Beaded Tealight Holder,523,3.99,Homeware,Independent Designer,Merrian Holland,English,1,8,Beginner
Vienna Top,524,4.99,Tops,Independent Designer,BabyCrochetDesigns,English,1,23,Intermediate
Shelly Lace Cover up,525,4.44,Tops,Independent Designer,Crochetlovemelbourne,English,1,15,Intermediate
Sunflower Power Coasters,526,0.00,Homeware,Independent Designer,Ira Rott,English,1,3,Beginner
Cat Door Stopper in Lion Brand 24/7 Cotton - M23014 TC - Downloadable PDF,527,0.00,Toys,Lion Brand,Lion Brand,English,1,5,Beginner
Easy Slip On Jumper - Free Crochet Pattern For Women in Paintbox Yarns Baby DK,528,0.00,Sweaters,Paintbox Yarns,,English,1,5,Beginner
Zaria Duster,529,5.22,Sweaters,Independent Designer,Alex .,English,1,6,Beginner
Ender Dragon,530,9.10,Toys,Independent Designer,Galina Litvinova,English,1,29,Advanced
Amigurumi Indian Ringneck Parrot,531,4.80,Toys,Independent Designer,Mevlinn Gusick,English,1,,Intermediate
Granny Square Balaclava,532,2.98,Accessories,Independent Designer,Oxana Sorokin,English,1,6,Intermediate
Weeping Rainbows Blanket,533,3.75,Homeware,Independent Designer,Layla's Wolf,English,1,8,Beginner
Easy Crochet HALTER Bohemian MIDI Dress.,534,8.13,Dresses,Independent Designer,ThePoshCrochet,English,1,27,Intermediate
Happy Flower,535,0.00,Homeware,Independent Designer,Hattie Risdale,English,1,5,Beginner
Parthenon Placemat Mosaic Crochet,536,4.47,Homeware,Independent Designer,Claire Musson,English,1,23,Intermediate
Cape Sleeved Cardi in Caron Simply Soft Light - Downloadable PDF,537,0.00,Cardigans,Caron,Kim Guzman,English,1,3,Beginner
PRINCE ALBERT Floral Panel,538,1.49,Homeware,Independent Designer,The Floral Hook,English,1,24,Intermediate
Teddy Bear Animal Baby Beanie Hat,539,3.00,Baby Hats,Independent Designer,Wistfully Woolen,English,1,7,Beginner
Owl Softie,540,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,4,Beginner
BISCOTTI Tote Bag,541,3.49,Accessories,Independent Designer,PLEXTOPATTERN,English,1,,Intermediate
Uaine,542,2.62,Jackets,Independent Designer,Caroline Murphy,English,1,5,Intermediate
Grumpy Mini Octopus,543,0.00,Grumpy Mini Octopus,Independent Designer,@kirby_crochets,English,1,4,Intermediate
DJ Set Bucket Hat in Sirdar Stories DK in Sirdar - 10560 - Downloadable PDF,544,0.00,Hats,Sirdar,,English,2,4,Beginner
The Wren Tank+ Tee,545,3.72,Tops,Independent Designer,Ashley Cobb,English,1,,Beginner
Adore Me Baby Blanket,546,2.24,Homeware,Independent Designer,Seona Roberts,English,1,,Beginner
Starburst Blankie in Lion Brand Mandala Baby - Downloadable PDF,547,0.00,Blankets,Lion Brand,Teresa Chorzepa,English,1,7,Beginner
Sampler Filet Blanket,548,3.49,Homeware,Independent Designer,Avondale Patterns by Ruth Teskey,English,1,6,Beginner
Zuma Pup Paw Patrol Crochet Pattern,549,3.80,Toys,Independent Designer,Kristine Kuluka,English,1,12,Intermediate
Super Chunky Hexagon Cardigan,550,0.00,Cardigans,Independent Designer,Michelle Greenberg,English,1,3,Beginner
Little Bird Amigurumi,551,3.14,Toys,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Crochet Granny Square Cardigan Coat Duster,552,6.64,Cardigans,Independent Designer,ThePoshCrochet,English,1,27,Intermediate
Whale Shark,553,0.00,Toys,Independent Designer,@kirby_crochets,English,1,4,Intermediate
Westie Cushion,554,4.50,Cushions,Independent Designer,Little Doolally,English,1,10,Intermediate
Roger,555,1.78,Jumpers,Independent Designer,Sheep Can't Knit or Crochet,English,1,,Intermediate
Go Dog Beans Green Dog Amigurumi,556,6.71,Toys,Independent Designer,HookingCuteCreations,English,1,7,Intermediate
Angel Stitch amigurumi,557,4.10,Toys,Independent Designer,Vitastoys,English,1,65,Intermediate
Breton Cardigan in Berroco Modern Linen - Downloadable PDF,558,6.29,Cardigans,Berroco,,English,1,9,Intermediate
Hello Kitty amigurumi,559,0.00,Toys,Independent Designer,Fluflu,English|Spanish,1,14,Intermediate
'Pippin' 3 Piece set with 8 sizes from Premature to 24 Months,560,5.50,Booties,Independent Designer,Caroline Richards,English,1,8,Intermediate
Yip Yips (crochet),561,0.00,Homeware,Independent Designer,Carissa Browning,English,1,7,Beginner
Unicorn Applique,562,1.87,Unicorn Applique,Independent Designer,Little Bamboo Handmade,English|French|German,1,24,Beginner
Feather Brushed Hat,563,3.07,Hats,Independent Designer,Rachy Knits Rachel Kleynhans,English,1,4,Intermediate
Evil Eye Granny Square,564,0.00,Homeware,Independent Designer,Crochet Dahlia,English,1,3,Beginner
Thea - Tunic Crochet Pattern For Women in Debbie Bliss Piper by Debbie Bliss,565,3.50,Sweaters,Debbie Bliss,Debbie Bliss,English,1,5,Advanced
Stylecraft Specials Pattern E-Book - Downloadable PDF,566,2.79,Cardigans,Stylecraft,,English,8,12,Intermediate
Winter Beanie,567,0.00,Accessories,Independent Designer,madebylisek,English,1,,Beginner
Crochet Tote Handle Bag,568,2.37,Accessories,Independent Designer,isWoolish,English,1,15,Intermediate
Dreamsicle Tee,569,2.98,Tops,Independent Designer,Sigoni Macaroni,English,1,,Beginner
Trio of Baby Blankets,570,7.75,Homeware,Independent Designer,KATE EASTWOOD,English,1,12,Intermediate
"Landyn Tahj Square, a Legacy Square",571,0.00,"Landyn Tahj Square, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,10,Intermediate
Monty 2 the marmot,572,5.65,Toys,Independent Designer,Son's Popkes,English,1,8,Beginner
Granny Christmas Tree,573,5.00,Homeware,Independent Designer,Squibblybups,English,1,7,Intermediate
"Macey Ann Square, a Legacy Square",574,0.00,Homeware,Independent Designer,A Yarn of Serendipity,English,1,10,Intermediate
"New Baby Matinee Coat,Booties,Beanie and Bear",575,2.95,Baby Hats,Independent Designer,madmonkeyknits,English,1,16,Beginner
Tunisian Crochet Stashbuster Shrug,576,3.49,Cardigans,Independent Designer,Haekelgold,English,1,,Beginner
Classic Shell Stitch Vest - PW-205,577,2.98,Waistcoats,Independent Designer,Nancy Brown,English,1,8,Intermediate
Brooklyn Chunky Sweater,578,2.76,Sweaters,Independent Designer,For The Frills | Grace,English,1,,Beginner
Coziest Crochet Cardigan in Patons Classic Wool Worsted - PAC0129-007903M - Downloadable PDF,579,0.00,Cardigans,Patons US,Patons Design Team,English,1,3,Intermediate
Crochet BEE,580,1.49,Toys,Independent Designer,My Crochet,English,1,4,Intermediate
Baby Blanket in Bernat Alize Blanket-EZ - Downloadable PDF,581,0.00,Blankets,Bernat,,English,1,2,Beginner
Shelly Strappy Top in Sirdar Stories - Downloadable PDF,582,3.95,Tops,Sirdar,,English,1,8,Advanced
Noëlle Blanket,583,2.58,Homeware,Independent Designer,Haak Maar Raak,Dutch|English,1,28,Intermediate
Pocket Otter,584,2.23,Toys,Independent Designer,Sweet Softies,English,1,,Beginner
Breast Boobie Boob model 2,585,2.61,Toys,Independent Designer,Vitastoys,English,1,12,Intermediate
Cosmos High Neck Halter Top,586,0.00,Tops,Independent Designer,Amanda Maciel,English,1,,Beginner
"Crochet Doll Pattern, Amigurumi doll pattern, Large doll, 21""/53cm, Lily",587,5.22,Toys,Independent Designer,LetoDollsCrochet,English|Spanish,1,26,Intermediate
Granny Square Dress,588,2.90,Dresses,Independent Designer,Bobo Stitches,English,1,12,Intermediate
Horace The Stegosaurus Amigurumi Pattern,589,3.50,Toys,Independent Designer,Irene Strange,English,1,5,Intermediate
Heart Blanket,590,5.24,Homeware,Independent Designer,Marina Nikolaidou,English,1,19,Beginner
Octopus,591,0.00,Toys,Independent Designer,The Cat and Wool,English,1,3,Beginner
Elephant Filet Crochet Blanket,592,4.00,Homeware,Independent Designer,Doodlepipmakes,English,1,4,Beginner
My Only Sunshine,593,3.73,Homeware,Independent Designer,Gleeful Crocheting,English,1,,Beginner
Stitched Up Make Up Scrubbies,594,0.00,Homeware,Independent Designer,Stitchedupcraft,English,1,8,Beginner
Granny Square Bunny,595,5.50,Toys,Independent Designer,Linda Morris Tomlin,English,1,4,Beginner
Chibi Baby Alien,596,0.00,Toys,Independent Designer,KawaiiNerdyCrochet,English,1,,Intermediate
Bulbasaur by AradiyaToys,597,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Portuguese|Russian|Spanish,1,27,Intermediate
Harry the Highland Cow Amigurumi,598,2.61,Toys,Independent Designer,HookingCuteCreations,English,1,7,Intermediate
Fleur Market Bag,599,3.93,Accessories,Independent Designer,Elderberry Farm Crafts,English,1,5,Beginner
Squishy Pickle Party,600,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,12,Intermediate
Beginner Shawl With Pockets,601,3.73,Accessories,Independent Designer,Joy of Motion Crochet | Janne K,English,1,,Beginner
Mauve-A-Lous Duster Cardi,602,4.48,Cardigans,Independent Designer,MJsOffTheHook,English,1,9,Intermediate
Favourite Things Collection Ebook - Knitting & Crochet Patterns in Debbie Bliss Rialto 4ply and Baby Cashmerino,603,8.00,Jackets,Debbie Bliss,Debbie Bliss,English,7,19,Advanced
Summer Breeze,604,2.98,Accessories,Independent Designer,Oxana Sorokin,English,1,4,Beginner
Poppy bookmark or decor,605,2.14,Homeware,Independent Designer,LittleOwlsHut,English,1,11,Intermediate
Diamond Mittens,606,3.71,Accessories,Independent Designer,Moogly,English,1,,Intermediate
Simple Seed Stitch Beanie,607,4.48,Accessories,Independent Designer,Kirsten Holloway,English,1,,Beginner
Free Amigurumi Elephant Crochet Pattern,608,0.00,Toys,Independent Designer,Viktorija Dineikiene,Danish|Dutch|English|French|Spanish,1,,Beginner
"Snuggly Baby Cardigan, Hat & Mittens",609,4.90,Hats,Independent Designer,Precious Newborn Knits,English,1,5,Intermediate
Crocheted Pullover in Lana Grossa Gomitolo Puno - 08 - Downloadable PDF,610,0.00,Sweaters,Lana Grossa,,English,1,3,Intermediate
"Crochet Pattern for Baby Blanket, Hat and Booties",611,1.19,Homeware,Independent Designer,TatjanaBoutique,English,1,5,Intermediate
Zero Ghost Dog,612,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Crochet Stuffed Hearts,613,2.00,Homeware,Independent Designer,Rossi,English,1,3,Beginner
Wedding Day Rose,614,0.00,Wedding Day Rose,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Bonbon Baby Blanket,615,4.00,Homeware,Independent Designer,Veronika Cromwell,English,1,,Beginner
Crochet Headband 432,616,4.48,Accessories,Independent Designer,Posh Patterns,English,1,,Intermediate
Peachy Keen Blanket,617,5.00,Homeware,Independent Designer,Little Duck Crochet,English,1,,Intermediate
Crochet Paper Chain Christmas Decorations,618,3.50,Homeware,Independent Designer,D D Wilder,English,1,3,Beginner
Annemaries Flower Ebook,619,0.00,Annemaries Flower Ebook,Independent Designer,Annemarie Benthem,English,1,24,Beginner
Easy Crochet Scarf Pattern for Women: Pink-Is-Pretty Scarf,620,4.10,Accessories,Independent Designer,KnotYourselfOut,English,1,,Beginner
Pixie pocket pouch,621,0.00,Accessories,Independent Designer,Ola Ogunlolu,English,1,3,Beginner
Crochet Baby Blanket in Bernat Baby Sport,622,0.00,Blankets,Bernat,,English,1,,
Simple Crop Top,623,3.93,Tops,Independent Designer,Swool Nordic Design,English,1,8,Beginner
Easy African Daisy,624,1.12,Homeware,Independent Designer,Stouto Creative Crochet,English,1,5,Beginner
Crochet Tops RUSTICHELLO #1,625,4.28,Tops,Independent Designer,ParkaDesigns,English,1,5,Beginner
Elaine Baby Hat | Easy Newborn Beanie,626,2.96,Hats,Independent Designer,Elaine's Collection,English,1,,Beginner
Crocheted Moomins,627,0.00,Toys,Independent Designer,CatKnit,English,1,4,Intermediate
Owl Amigurumi,628,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Adult Love my Granny Pullover,629,4.80,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,30,Intermediate
Bernard the Dinosaur - Free Toy Crochet Pattern For Halloween in Paintbox Yarns Cotton Aran by Paintbox Yarns,630,0.00,Toys,Paintbox Yarns,,English,1,5,Intermediate
The Waterlily Lace Top,631,0.00,Tops,Independent Designer,Michelle Greenberg,English,1,5,Beginner
Long and Short Sleeved Cardigans in Sirdar Country Style 4Ply - 7887 - Downloadable PDF,632,3.85,Cardigans,Sirdar,,English,2,6,Intermediate
Tiger Mosaic Backpack/ Bag,633,4.10,Accessories,Independent Designer,Natalia Kononova,English,1,46,Advanced
Blanket and Booties in Bernat Softee Baby Solids,634,0.00,Accessories,Bernat,,English,2,,
Jack and Jill Baby Cardigan,635,3.50,Cardigans,Independent Designer,LinksnLoops.com,English,1,4,Intermediate
Coastal Cropped Tank Top,636,0.00,Tops,Independent Designer,Chezpascale,English,1,4,Beginner
Crochet Sunflower pattern,637,4.37,Crochet Sunflower pattern,Independent Designer,Emčaaaaa,English,1,4,Intermediate
"""Garden Garland"" - Accessory Crochet Pattern For Home in Paintbox Yarns Simply DK",638,0.00,Accessories,Paintbox Yarns,Annemarie Benthem,English,9,6,Beginner
Pick and Mix Cardigan,639,4.99,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,31,Intermediate
