Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Easy Crochet Scarf Pattern for Women: Pink-Is-Pretty Scarf,627,4.07,Accessories,Independent Designer,KnotYourselfOut,English,1,,Beginner
Pixie pocket pouch,628,0.00,Accessories,Independent Designer,Ola Ogunlolu,English,1,3,Beginner
Crochet Baby Blanket in Bernat Baby Sport,629,0.00,Blankets,Bernat,,English,1,,
Simple Crop Top,630,3.88,Tops,Independent Designer,Swool Nordic Design,English,1,8,Beginner
Easy African Daisy,631,1.11,Homeware,Independent Designer,Stouto Creative Crochet,English,1,5,Beginner
Crochet Tops RUSTICHELLO #1,632,3.10,Tops,Independent Designer,ParkaDesigns,English,1,5,Beginner
Elaine Baby Hat | Easy Newborn Beanie,633,2.94,Hats,Independent Designer,Elaine's Collection,English,1,,Beginner
Crocheted Moomins,634,0.00,Toys,Independent Designer,CatKnit,English,1,4,Intermediate
Owl Amigurumi,635,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Adult Love my Granny Pullover,636,4.80,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,30,Intermediate
Bernard the Dinosaur - Free Toy Crochet Pattern For Halloween in Paintbox Yarns Cotton Aran by Paintbox Yarns,637,0.00,Toys,Paintbox Yarns,,English,1,5,Intermediate
The Waterlily Lace Top,638,0.00,Tops,Independent Designer,Michelle Greenberg,English,1,5,Beginner
Long and Short Sleeved Cardigans in Sirdar Country Style 4Ply - 7887 - Downloadable PDF,639,3.85,Cardigans,Sirdar,,English,2,6,Intermediate
Tiger Mosaic Backpack/ Bag,640,4.07,Accessories,Independent Designer,Natalia Kononova,English,1,46,Advanced
Blanket and Booties in Bernat Softee Baby Solids,641,0.00,Accessories,Bernat,,English,2,,
Jack and Jill Baby Cardigan,642,3.50,Cardigans,Independent Designer,LinksnLoops.com,English,1,4,Intermediate
Coastal Cropped Tank Top,643,0.00,Tops,Independent Designer,Chezpascale,English,1,4,Beginner
Crochet Sunflower pattern,644,4.31,Crochet Sunflower pattern,Independent Designer,Emčaaaaa,English,1,4,Intermediate
"""Garden Garland"" - Accessory Crochet Pattern For Home in Paintbox Yarns Simply DK",645,0.00,Accessories,Paintbox Yarns,Annemarie Benthem,English,9,6,Beginner
Pick and Mix Cardigan,646,4.99,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,31,Intermediate
Cool Shirt - Free Crochet Pattern for Women in Paintbox Yarns Cotton Mix DK by Paintbox Yarns,647,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Rainbow crochet wall hanging,648,4.29,Homeware,Independent Designer,ChicaOutlet,English|Spanish,1,36,Beginner
White Lace Baby Blanket,649,4.00,Homeware,Independent Designer,Hannah Cross,English,1,4,Intermediate
Oddish by AradiyaToys,650,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Russian|Spanish,1,18,Intermediate
Liv Granny Square Adults Top,651,2.66,Tops,Independent Designer,isWoolish,English,1,31,Beginner
Halcyon Keychain,652,4.44,Accessories,Independent Designer,Christina Smith,English,1,10,Beginner
Basic Granny Square,653,0.00,Basic Granny Square,Independent Designer,Crafty Creations,English,1,1,Beginner
Cape with Hood # 395,654,4.07,Ponchos,Independent Designer,Meadowvale Studio,English,1,16,Intermediate
Crochet Cherry Blossom,655,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,,Beginner
Beleza Bralette,656,4.74,Tops,Independent Designer,Travelling Threads Crochet,English,1,,Intermediate
Brightest Star Blanket UK,657,4.25,Homeware,Independent Designer,Kerry Jayne Designs,English,1,15,Intermediate
Balloon Sleeve Bomber,658,4.13,Cardigans,Independent Designer,KingAndEye,English,1,11,Beginner
Little Bear Hooded Baby Blanket #157,659,4.07,Homeware,Independent Designer,Cali Chic Baby,English,1,12,Intermediate
2 1/2 Hour Nap,660,0.00,Cardigans,Independent Designer,MADuNaier,English,1,6,Intermediate
Unraveled sheep bookmark,661,1.94,Homeware,Independent Designer,Justyna Kacprzak,English,1,,Intermediate
Shrek Amigurumi,662,0.00,Toys,Independent Designer,Ternura Amigurumi,English,1,8,Intermediate
Pig Bookmark Crochet Pattern,663,3.62,Toys,Independent Designer,Supergurumi,Dutch|English|French|German|Spanish,1,36,Intermediate
Amigurumi big bear,664,1.72,Toys,Independent Designer,D&I CREATIONS,English,1,,Beginner
Octopi the little octopus - critter stitch crochet pattern / amigurumi,665,3.77,Toys,Independent Designer,Critter Stitch,English,1,8,Intermediate
Easy Street Hat in Caron Simply Soft - Downloadable PDF,666,0.00,Hats,Caron,,English,1,2,Beginner
Bear Love Blanket,667,4.75,Homeware,Independent Designer,Kerry Jayne Designs,English,1,30,Beginner
Round bag with raffia yarn,668,3.33,Accessories,Independent Designer,Anna Kuznietsova,English,1,,Beginner
Happy Sun hat,669,2.45,Accessories,Independent Designer,Kerry Jayne Designs,English,1,7,Beginner
Checked Blanket in Bernat Bernat Alize Blanket-EZ - Downloadable PDF,670,0.00,Blankets,Bernat,,English,1,2,Beginner
Almaith,671,3.45,Tops,Independent Designer,Caroline Murphy,English,1,4,Intermediate
Crochet dog Pattern Puppy Dog Amigurumi Pattern for Beginners PDF,672,2.59,Amigurumi,Independent Designer,Preppy Owl Patterns,English,1,,Beginner
Harlequin Shawl in Caron Simply Soft & Simply Soft Paints - Downloadable PDF,673,0.00,Shawls,Caron,Margret Willson,English,1,2,Beginner
Double Knit Baby Bear Beanie,674,3.50,Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,,Intermediate
Lightweight cardigan,675,3.70,Cardigans,Independent Designer,KnitcroAddict,English,1,5,Beginner
Cardigan sweater,676,3.70,Cardigans,Independent Designer,KnitcroAddict,English,1,5,Beginner
Blanket in Hayfield Baby Blossom DK - 5231 - Downloadable PDF,677,3.85,Blankets,Hayfield,Sirdar,English,1,2,Intermediate
Tiny the Triceratops,678,4.00,Toys,Independent Designer,The Clumsy Unicorn,English,1,22,Beginner
City Chic Fold Over Shrug,679,4.50,Boleros,Independent Designer,Nicole Wang,English,1,,Beginner
Canadian Maple Leaf Coaster,680,0.00,Homeware,Independent Designer,Ira Rott,English,1,8,Intermediate
Pyramid Doorstop,681,3.50,Homeware,Independent Designer,Veronika Cromwell,English,1,,Beginner
Chevron Dip,682,3.70,Tops,Independent Designer,Detroit Knots,English,1,,Intermediate
Mughetto Top in Adriafil Rafia - Downloadable PDF,683,0.00,Tops,Adriafil,,English,1,2,
Squarey Sweater,684,4.80,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,25,Intermediate
Grim Reaper,685,2.96,Toys,Independent Designer,AnnieCraft,English,1,9,Beginner
Crochet Round Little Cotton Facial Cleaning Pads,686,3.50,Homeware,Independent Designer,D D Wilder,English,1,2,Beginner
Hardware Heaven - Steampunk Corset,687,3.21,Hardware Heaven - Steampunk Corset,Independent Designer,Sarahjanedesigns,English,1,8,Intermediate
Crafty CC Flower,688,0.00,Crafty CC Flower,Independent Designer,Crafty CC,English,1,3,Intermediate
Mini Spiderman,689,2.52,Toys,Independent Designer,Karol Torres Handmade,English|Spanish,1,8,Intermediate
Here Comes The Sun Scarf,690,6.00,Accessories,Independent Designer,Melu Crochet,English,1,14,Beginner
Crochet Baby Star Blanket Wrap Cozy,691,2.18,Crochet Baby Star Blanket Wrap Cozy,Independent Designer,Souma,English,1,17,Intermediate
Robin,692,3.49,Homeware,Independent Designer,Little Conkers,English|French,1,12,Intermediate
Star Blanket in Bernat Baby Coordinates Solids,693,0.00,Blankets,Bernat,,English,1,,
Kid's Boater Brim raffia Hat crochet pattern,694,2.96,Accessories,Independent Designer,Veronika Ryzhkova,English,1,,Intermediate
Moondance Cardigan,695,3.70,Cardigans,Independent Designer,City Farmhouse Studio,English,1,7,Intermediate
Recycled (t-shirt) yarn basket-100,696,2.52,Homeware,Independent Designer,Sepand Design,English,1,12,Beginner
Clog Liners,697,2.51,Socks,Independent Designer,Cobbler's Cabin,English,1,8,Intermediate
Dinosaur Egg,698,1.63,Toys,Independent Designer,Crafty Creations,English,1,3,Beginner
Squishy Baby Spider,699,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,10,Intermediate
Amigurumi Pumpkins,700,0.00,Toys,Independent Designer,Mevlinn Gusick,English,1,4,Intermediate
Border :: Tea Towel Edging,701,5.00,Homeware,Independent Designer,Crochet Tea Party,English,1,2,Intermediate
Bluebell Flowers,702,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,2,Intermediate
Chunky Heart Cushion,703,3.33,Homeware,Independent Designer,Angela Paul,English,1,,Beginner
Rosen Top,704,4.80,Dresses,Independent Designer,MillieRoseUK,English,1,3,Intermediate
EASY DK KNITTING PATTERN CHRISTMAS PUDDING BABY HAT BOOTIES PREM NEWBORN 3 MTHS,705,2.40,Hats,Independent Designer,Anglesey's Treasures,English,1,2,Beginner
Stitch der Alien Fanart Amigurumi Anleitung,706,0.00,Toys,Independent Designer,Roxy's Crochet,German,1,10,Intermediate
Heartalls (Square Bib Version),707,5.92,Heartalls (Square Bib Version),Independent Designer,Savannah Price,English,1,,Beginner
Colorful Flower Bag in Schachenmayr Catania - S9023 - Downloadable PDF,708,0.00,Bags,Schachenmayr,,Dutch|English|French|German,1,3,
Frozen Wig Hat,709,4.07,Baby Hats,Independent Designer,Christy Hills,English,1,4,Beginner
Harlequin Bag in Lion Brand 24/7 Cotton - Downloadable PDF,710,0.00,Harlequin Bag in Lion Brand 24/7 Cotton - Downloadable PDF,Lion Brand,,English,1,3,Beginner
Baby moses basket,711,4.07,Baby moses basket,Independent Designer,GBCROCHETPATTERNS,English,1,16,Intermediate
Magical Garden Cardigan,712,6.22,Cardigans,Independent Designer,Sam Bartley,English,1,,Beginner
Carnation flower,713,0.00,Homeware,Independent Designer,Luna Crochet Designs,English,1,5,Beginner
Barella Striped Blanket in Lion Brand Touch of Alpaca Thick & Quick - M22087 TATQ - Downloadable PDF,714,0.00,Blankets,Lion Brand,Kristi Simpson,English,1,3,Beginner
Hotdog the Dachshund Crochet Pattern Amigurumi,715,4.74,Toys,Independent Designer,Firefly Crochet,English,1,16,Beginner
Bellamore dress,716,6.90,Dresses,Independent Designer,lemaninelabcrochet,English|Italian,1,22,Intermediate
Leaping Spring Hare,717,4.75,Leaping Spring Hare,Independent Designer,KATE EASTWOOD,English,1,6,Intermediate
"""Charlotte"" Matinee Set 0-3mths",718,2.45,Coats,Independent Designer,Precious Little Bundles,English,1,8,Intermediate
Oscar the Little Bat - Free Toy Crochet Pattern For Halloween in Paintbox Yarns Cotton Aran by Paintbox Yarns,719,0.00,Toys,Paintbox Yarns,Irene Strange,English,1,5,Intermediate
Guru Guru Spirals blanket,720,4.07,Homeware,Independent Designer,Crochetlovemelbourne,English,1,,Intermediate
Sporty Chunky One-Piece Jacket,721,3.66,Jackets,Independent Designer,Nicole Wang,English,1,,Intermediate
Cleo the Clam,722,0.00,Toys,Independent Designer,Theresa,English,1,4,Beginner
Apples and Tomatoes Blanket,723,3.89,Homeware,Independent Designer,QuartermoonCrochet,English,1,,Beginner
Pink V-Stitch Baby Throw in Lion Brand Babysoft Prints - Downloadable PDF,724,0.00,Blankets,Lion Brand,Lion Brand,English,1,3,Beginner
Simple Crochet Cardigan Pattern for a Lady,725,2.49,Cardigans,Independent Designer,UK Craft Store,English,1,4,Beginner
Crochet Lovey Pattern Blanket Ginger Kitty Cat Kitten Security Blanket Crochet Lovey Blanket Toy Blankie Baby Blanket Toy Crochet Comforter Snuggle,726,4.00,Toys,Independent Designer,TatieSoftToys,English,1,17,Intermediate
Green Hill Palm Tree – Amigurumi Pattern (PDF),727,2.22,Toys,Independent Designer,Danielle Magalhães,English,1,12,Beginner
Little Bo Sheep Amigurumi in Lion Brand Go For Faux & Feels Like Butta - M21069 FB GF - Downloadable PDF,728,0.00,Toys,Lion Brand,Lion Brand,English,1,4,Beginner
Crochet Starfishes,729,0.78,Toys,Independent Designer,HelgaTee,English,1,,
Capybara Amigurumi,730,0.00,Amigurumi,Independent Designer,Made by Luna,English,1,7,Beginner
Mini elephant,731,1.78,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Revisto Mand in Hoooked Zpagetti Solids,732,0.00,Revisto Mand in Hoooked Zpagetti Solids,Hoooked,,Dutch|English|German,1,3,Beginner
Candy Twist Blanket,733,4.95,Homeware,Independent Designer,Harriet's Duck Crochet,English,1,20,Intermediate
5 sizes - NEO Crochet Crossed Baby Jacket,734,8.62,Cardigans,Independent Designer,Creativa Atelier,English,1,26,Intermediate
Floppy Brim Girls Hat,735,1.48,Accessories,Independent Designer,Kristine Mullen,English,1,,Beginner
Baby Cardigan in Lion Brand Touch Of Linen - M20048 TY - Downloadable PDF,736,0.00,Cardigans,Lion Brand,Sarah Zee & Lion Brand,English,1,5,Beginner
Pom Pom Baby Beanie,737,1.11,Hats,Independent Designer,Nicola Rattley,English,1,2,Beginner
Easy Knit Baby Beanie Knitting Pattern 227,738,3.32,Hats,Independent Designer,Posh Patterns,English,1,10,Beginner
Falling blossoms shawl,739,5.33,Accessories,Independent Designer,Ana D,English,1,4,Intermediate
Straight Up Scarf in Caron Simply Soft Brites - Downloadable PDF,740,0.00,Scarves & Shawls,Caron,,English,1,1,Beginner
"Crochet Sun Hat, Bucket Hat",741,4.44,Accessories,Independent Designer,Natalya1905,English,1,4,Beginner
Amigurumi Flower soft toy,742,2.59,Amigurumi,Independent Designer,Marika Uustare,English,1,,Beginner
Bursting With Love,743,4.99,Homeware,Independent Designer,Cute Crochet Makes,English,1,22,Intermediate
Animal Baby Blanket - Going Quackers,744,2.95,Homeware,Independent Designer,Helen Free,English,1,24,Intermediate
Mini Moule Hoodie,745,3.90,Sweaters,Independent Designer,The Moule Hole,English,1,15,Intermediate
Rose Windows,746,2.59,Accessories,Independent Designer,Jude Butterworth,English,1,8,Intermediate
Confetti Summer Top,747,5.17,Tops,Independent Designer,Leonela Cevallos,English,1,,Beginner
Beginner Single Crochet Dishcloth,748,4.44,Homeware,Independent Designer,Sonya Blackstone,English,1,6,Beginner
Decorative Teething Ring in Lion Brand Feels Like Butta - M23048 FB - Downloadable PDF,749,0.00,Accessories,Lion Brand,Lion Brand,English,1,6,Beginner
CUP6 Shell matinee coat,750,3.30,Cardigans,Independent Designer,Mrs Shears,English,1,,
Flying Dragon,751,2.78,Homeware,Independent Designer,Yarn Mosaics by Melanie O'Kane,English,1,10,Intermediate
Crochet Pattern Pokémon Baby Charmander,752,1.64,Toys,Independent Designer,amigoll9,English,1,7,Beginner
Grinch,753,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,30,Intermediate
Viola Floral Top,754,0.00,Viola Floral Top,Independent Designer,Amanda Maciel,English,1,,Beginner
Poet Dog Sweater in Lion Brand Homespun - L32350,755,0.00,Pet Clothing,Lion Brand,,English,1,,
Pink Flamingo Amigurumi,756,0.00,Toys,Independent Designer,Amanda Maciel,English,1,8,Beginner
Nerida Scalloped Top,757,0.00,Nerida Scalloped Top,Independent Designer,Amanda Maciel,English,1,6,Beginner
Daisy Granny Square Cardigan,758,1.85,Cardigans,Independent Designer,AlenaCharity Limbithu,English,1,6,Intermediate
Pine Cone Cloth and Puff,759,3.00,Homeware,Independent Designer,Sandra Paul,English,1,14,Beginner
Granny Square Bags in Lily Sugar 'n Cream Solids,760,0.00,Accessories,Lily Sugar 'n Cream,,English,7,,
030 Bullfinch potholder decor,761,2.31,Homeware,Independent Designer,LittleOwlsHut,English,1,11,Intermediate
Knotted Beanie,762,2.44,Accessories,Independent Designer,Crafty Creations,English,1,3,Beginner
Waves Ladies Top,763,3.25,Tops,Independent Designer,Peach.Unicorn,English,1,4,Beginner
Beryl Shawl,764,5.00,Accessories,Independent Designer,Loopy Handmade,English,1,,Beginner
Velvet Scrunchies,765,0.00,Accessories,Independent Designer,Time to Yarn Me Up,English,1,19,Beginner
6-Day Viral Kid Blanket,766,2.96,Homeware,Independent Designer,Betty McKnit,English,1,,Beginner
QUATTRO STAGIONI CARDI,767,4.07,Cardigans,Independent Designer,Crojennifer,English,1,14,Beginner
Harvest Moon Floral Block,768,1.85,Cushions,Independent Designer,The Floral Hook,English,1,44,Intermediate
Minion Stuart by AradiyaToys,769,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Russian|Spanish,1,21,Intermediate
Precious Words One-Piece Baby Blanket,770,3.25,Homeware,Independent Designer,Peach.Unicorn,English,1,8,Beginner
Baby Octopus,771,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,8,Beginner
143 TLC Designs HOUSE,772,3.70,Homeware,Independent Designer,Tricia Crow,English,1,,Beginner
Pretty Crochet Horse,773,4.44,Toys,Independent Designer,Heather Kumpf,English,1,,Beginner
Seamus Scally Cap (Child Sizes),774,4.44,Accessories,Independent Designer,Jenny Clayton,English,1,8,Intermediate
"Crochet Pattern Baby Blanket, Cardigan and Booties",775,1.19,Homeware,Independent Designer,TatjanaBoutique,English,1,8,Intermediate
Jacket in Lana Grossa Gomitolo Denim - 05 - Downloadable PDF,776,0.00,Cardigans,Lana Grossa,,English,1,3,Intermediate
Easy Poncho,777,1.67,Ponchos,Independent Designer,Kris of Light and Joy Designs,English,1,,Beginner
Boardwalk Bag,778,4.07,Accessories,Independent Designer,The Crochet Village,English,1,9,Intermediate
Hook Case,779,4.44,Hook Case,Independent Designer,Lori-Anne Carr,English,1,5,Intermediate
Bauhaus Circle C2C Crochet Pattern,780,4.31,Homeware,Independent Designer,KnitsMagic,English,1,26,Beginner
The Basic Bonnet,781,3.70,Hats,Independent Designer,Sophiaknits87,English,1,4,Beginner
Crochet Cat Bookmark,782,2.40,Crochet Cat Bookmark,Independent Designer,IckleBuddies,English,1,8,Advanced
Rainfall Cardigan,783,5.55,Cardigans,Independent Designer,Little Golden Nook,English,1,9,Beginner
Simple Bobble Hat Jasper,784,4.00,Hats,Independent Designer,Pure Hand Knits,English,1,24,Beginner
Gnome,785,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baubles and Berries Wrap,786,5.00,Accessories,Independent Designer,Sandra Paul,English,1,11,Intermediate
Arrows Down Shawl,787,5.55,Accessories,Independent Designer,Atty*s,Dutch|English,1,22,Beginner
59 To The Moon,788,3.70,Homeware,Independent Designer,Tricia Crow,English,1,,Intermediate
So Natural Mandala,789,4.27,Homeware,Independent Designer,Renata Saj,Dutch|English,1,11,Intermediate
Sampler Squares Baby Blanket in Caron Simply Soft - Downloadable PDF,790,0.00,Blankets,Caron,,English,1,2,Intermediate
Ivy Leaves garland trail,791,2.50,Homeware,Independent Designer,Luna Crochet Designs,English,1,5,Beginner
Top Down Socks,792,0.00,Socks,Independent Designer,Cobbler's Cabin,English,1,3,Intermediate
International Women's Day flowers,793,0.00,Homeware,Independent Designer,Gava Crochet,English,1,2,Beginner
Frog Applique,794,1.85,Frog Applique,Independent Designer,Little Bamboo Handmade,English|French|German,1,22,Beginner
Baby Cardigan and Booties,795,1.09,Cardigans,Independent Designer,TatjanaBoutique,English,1,5,Intermediate
Wavy Waves Plant Hanger,796,1.85,Homeware,Independent Designer,Taralah Williams,English,1,13,Intermediate
Amigurumi Jellyfish Bella,797,5.55,Toys,Independent Designer,ayr@z,English,1,4,Beginner
Shoulders in the Sun Top - Free Crochet Pattern for Women in Paintbox Yarns Cotton DK & Metallic DK - Downloadable PDF,798,0.00,Tops,Paintbox Yarns,,English,1,7,Intermediate
Sweet Spring Green,799,2.99,Homeware,Independent Designer,Sweetpeafamily,English,1,3,Beginner
Tiny Snowflakes Baby Blanket in Caron Simply Soft - Downloadable PDF,800,0.00,Blankets,Caron,,English,1,2,Intermediate
Green Girl Dress,801,2.59,Dresses,Independent Designer,Crafting Wheel,English,1,6,Beginner
Amigurumi dragon Drachilein,802,0.00,Toys,Independent Designer,schneck007,German,1,39,Advanced
Seahorse crochet pattern keychain Amigurumi sea animal mini toy Car hanging Crochet keyring bag charm,803,2.50,Toys,Independent Designer,Viktoria Petakh,English,1,7,Beginner
Kylie Fingerless Mitts,804,0.00,Accessories,Independent Designer,Stefanie Bold,English|German,1,8,Beginner
Preemie hat,805,1.00,Hats,Independent Designer,One Creative Cat,English,1,1,Beginner
FREE Crochet Oreo,806,0.00,Toys,Independent Designer,arianarosecreates,English,1,3,Beginner
Lil Denim Cardi,807,2.21,Sweaters,Independent Designer,Ashleigh Kiser | Sewrella,English,1,,Intermediate
Stripe a Pose Sweater,808,7.98,Sweaters,Independent Designer,CrochetHighway,English,1,14,Beginner
Handtied bouquet crochet cushion,809,7.80,Cushions,Independent Designer,KATE EASTWOOD,English,1,11,Intermediate
Bamboo Pop Dolls in Universal Yarn Bamboo Pop - Downloadable PDF,810,0.00,Bamboo Pop Dolls in Universal Yarn Bamboo Pop - Downloadable PDF,Universal Yarn,,English,6,60,Advanced Beginner
Birdbrain Chicken Hat,811,3.70,Accessories,Independent Designer,Sharpin Designs,English,1,,Intermediate
Bonnie Beanie - Free Hat Crochet Pattern For Babies in Paintbox Yarns Baby DK Prints by Paintbox Yarns,812,0.00,Hats,Paintbox Yarns,,English,1,4,Beginner
'Blueberry' 5 Piece set - Premature to 24 Months,813,5.50,Booties,Independent Designer,Caroline Richards,English,1,,Intermediate
Striped Pouch - Free Bag Crochet Pattern in Paintbox Yarns 100% Wool Worsted - Downloadable PDF,814,0.00,Striped Pouch - Free Bag Crochet Pattern in Paintbox Yarns 100% Wool Worsted - Downloadable PDF,Paintbox Yarns,,English,1,4,Beginner
Samson Baby Blanket,815,5.63,Homeware,Independent Designer,patternandcraft,English,1,25,Beginner
Norman The Sheep - Free Toy Crochet Pattern For Kids in Paintbox Yarns Cotton Aran by Paintbox Yarns,816,0.00,Toys,Paintbox Yarns,PB,English,1,5,Intermediate
Peony Cardigan,817,2.22,Cardigans,Independent Designer,Maria's Blue Crayon,English,1,,Intermediate
Tiny Magic Frog,818,0.00,Toys,Independent Designer,Ilaria and Irene Amigurumi Crochet-Alongs,English,1,5,Beginner
Green Agate Top,819,4.36,Tops,Independent Designer,annelies baes,Dutch|English,1,16,Intermediate
Hollow knight,820,3.45,Hollow knight,Independent Designer,Abygurumisss,English,1,9,Beginner
Japanese Knot Bag,821,3.33,Japanese Knot Bag,Independent Designer,Vivmade,English,1,8,Beginner
Crochet Pattern for the easy dog coat!,822,0.86,Crochet Pattern for the easy dog coat!,Independent Designer,amigoll9,English,1,6,Beginner
Essential Christmas Crochet Ebook - Free Crochet Pattern For Christmas by Paintbox Yarns,823,0.00,Essential Christmas Crochet Ebook - Free Crochet Pattern For Christmas by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,3,21,Intermediate
The Viking: Hat for Cats,824,4.07,The Viking: Hat for Cats,Independent Designer,iheartneedlework,English,1,,Intermediate
Giles the Giraffe,825,3.50,Toys,Independent Designer,Moji-Moji Design,English,1,8,Beginner
Granny Stitch Baby Cardigan,826,2.50,Cardigans,Independent Designer,Charlis Craft,English,1,18,Intermediate
Granny Stripes Vest,827,8.50,Waistcoats,Independent Designer,Realm Designs,English,1,,Intermediate
Golden Boy the golden retriever dog,828,5.58,Toys,Independent Designer,Son's Popkes,English,1,,Intermediate
Gingham Granny Square Baby Blanket,829,3.70,Homeware,Independent Designer,Deborah O'Leary,English,1,8,Beginner
Lion toy,830,5.17,Toys,Independent Designer,Olga Piliponis,English,1,,Intermediate
Snail,831,2.99,Toys,Independent Designer,Little Conkers,English,1,16,Advanced
"Apple, Pear and Banana - Fruit Collection",832,4.59,Toys,Independent Designer,Little Conkers,English,1,,Intermediate
Tiny Frog,833,2.92,Toys,Independent Designer,Poppet Moon Crochet,English,1,8,Intermediate
Boho Crop Top,834,3.70,Tops,Independent Designer,KnitcroAddict,English,1,7,Beginner
Spring Garden Baby Blanket,835,3.11,Homeware,Independent Designer,Lullaby Lodge,English,1,4,Intermediate
"Hedgehog - Small, Medium & Large Crocheted in King Cole Tinsel Chunky and Dollymix DK - 9148 - Downloadable PDF",836,2.99,Toys,King Cole,,English,3,4,Intermediate
Lelant Top,837,4.00,Tops,Independent Designer,CamexiaDesigns,English,,,Beginner
Totally Crochet Tote in Sirdar Jewelspun Ombre - Downloadable PDF,838,3.95,Totally Crochet Tote in Sirdar Jewelspun Ombre - Downloadable PDF,Sirdar,,English,1,8,Beginner
Spring Stripes Blanket,839,5.00,Homeware,Independent Designer,Little Duck Crochet,English,1,,Intermediate
Crochet Booties in Bernat Baby,840,0.00,Booties,Bernat,,English,1,,
Maxine Afghan,841,4.81,Homeware,Independent Designer,KMW Crochet Designs,English,1,279,Intermediate
Fox Tuanzi Keychain Crochet Pattern,842,0.74,Toys,Independent Designer,SLN Hand Made with Love,English,1,4,Beginner
161 Dog Decor or Potholder,843,2.52,Homeware,Independent Designer,LittleOwlsHut,English,1,16,Beginner
Bubble Up Crochet Blanket in Bernat Bundle Up - Downloadable PDF,844,0.00,Blankets,Bernat,,English,1,2,Beginner
The Paisley Cardigan,845,3.70,Cardigans,Independent Designer,Ashley Cobb,English,1,14,Beginner
Child's Easy Poncho,846,2.50,Ponchos,Independent Designer,Flo's Crafty Crochet,English,1,,Beginner
Balcony Bralette - Free Top Crochet Pattern For Women in Paintbox Yarns Cotton 4 ply by Paintbox Yarns,847,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English|German,1,5,Beginner
EASY BEGINNER'S Tulip Baby Blanket,848,2.95,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,3,Beginner
Butterfly cardigan,849,4.40,Cardigans,Independent Designer,Tania Skalozub,English,1,,Intermediate
Baby Shoes Ivelle in Hoooked Somen - Downloadable PDF,850,0.00,Baby Shoes Ivelle in Hoooked Somen - Downloadable PDF,Hoooked,,Dutch|English|German,1,6,Beginner
Crochet Triangle Shawl BioTronik #3,851,2.59,Accessories,Independent Designer,ParkaDesigns,English,1,3,Beginner
"Sallie Sloth in Lion Brand Go For Faux, Wool Ease & Feels Like Butta - L90087 - Downloadable PDF",852,0.00,Toys,Lion Brand,Lion Brand,English,1,5,Beginner
Clara Tote Bag,853,4.44,Accessories,Independent Designer,Divine Debris,English,1,4,Intermediate
The Demon – Rock Doll Crochet Pattern + Printable Accessories (Fanart Inspired),854,8.89,Toys,Independent Designer,Danielle Magalhães,English,1,22,Advanced
Dragonfly Tranquility Blanket,855,4.67,Homeware,Independent Designer,Auburncraft Crochet Design,English,1,40,Intermediate
Chevrons Filet Blanket,856,3.45,Homeware,Independent Designer,Avondale Patterns by Ruth Teskey,English,1,5,Beginner
Adam Baby Cardigan,857,4.43,Cardigans,Independent Designer,Lisas Crochet Designz,English,1,14,Intermediate
Kiara Crochet Vest,858,3.88,Waistcoats,Independent Designer,PDFCrochetPattern4u,English|Spanish,1,106,Beginner
"Monster Keychain,Free Crochet Patterns,Crochet Easy Patterns,Crocheting Projects for Beginners",859,0.00,Toys,Independent Designer,Kathy Leung,English,1,5,Beginner
Mexican Diamonds,860,6.95,Homeware,Independent Designer,Jane Crowfoot,English,1,24,Intermediate
Woodland Neck Cosy,861,1.85,Accessories,Independent Designer,The Floral Hook,English,1,21,Intermediate
Chroma Cardigan,862,5.55,Cardigans,Independent Designer,Tanya Johnson,English,1,12,Intermediate
Crochet pattern for the mushroom!,863,0.00,Toys,Independent Designer,amigoll9,English,1,5,Beginner
Rose Shells Pocket Scarf,864,4.44,Accessories,Independent Designer,Frankie Kate,English,1,17,Intermediate
CETARA BAG,865,3.02,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Flower Hexagon Bag,866,0.00,Accessories,Independent Designer,Amanda Maciel,English,1,,Beginner
Flag of Norway,867,2.59,Homeware,Independent Designer,Pukapuka,English,1,3,Intermediate
Alana Baby Booties #137,868,2.21,Booties,Independent Designer,CuddlyBaby Knitwear,English,1,8,Beginner
