Ime,Priljubljenost,Cena [£],Vrsta izdelka,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Simplest Twist Crochet Headband,437,0.00,Headbands,Independent Designer,Doraly Crochet,English,1,2,Beginner
Sensory Learning Toy Crochet Pattern,438,3.00,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
White Lace Sweater,439,5.88,Jackets,Independent Designer,Tania Skalozub,English|French|German|Italian|Portuguese|Spanish,1,83,Intermediate
Cosplay Bunny - Yellow Rabbit,440,2.59,Toys,Independent Designer,KaiaCrochet,English,1,13,Intermediate
Mini rabbit,441,0.00,Toys,Independent Designer,DziergalniaMarty,English|Polish,1,30,Intermediate
"Gnome - Doorstop, Decoration",442,3.87,Homeware,Independent Designer,patterns by steph,English,1,,Intermediate
Cinnamon Swirl Hat and Scarf Set - Free Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,443,0.00,Hats,Paintbox Yarns,,English,2,4,Intermediate
Sea Shell Earrings,444,2.81,Accessories,Independent Designer,GoldenLucyCrafts,English,1,9,Intermediate
4 Crochet Bag Tutorials,445,7.65,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Handy Dandy Lip Balm Holder,446,0.00,Homeware,Independent Designer,Two Girls Patterns,English,1,2,Intermediate
Lots of Squares Jumper Cardigan,447,5.40,Jumpers,Independent Designer,BabyCrochetDesigns,English,1,21,Intermediate
Caerwyn Romper Set,448,5.00,Booties,Independent Designer,Ready For Cwtches Designs,English,1,10,Intermediate
Purrito Kawaii Cuddler®,449,4.26,Toys,Independent Designer,3amgracedesigns,English,1,,Beginner
Cascading Ripples Blanket in Bernat Baby Coordinates Solids,450,0.00,Blankets,Bernat,,English,1,,
Grannysquare Bucket Hat,451,3.52,Accessories,Independent Designer,Dee's Knotz,English,1,11,Intermediate
Apple Cardigan to 4 Years,452,4.43,Cardigans,Independent Designer,Lisas Crochet Designz,English,1,12,Intermediate
Halley Beaded Pouch,453,6.95,Accessories,Independent Designer,Jane Crowfoot,English,1,,Advanced
Let's Stay Home Blanket,454,3.70,Homeware,Independent Designer,TL Yarn Crafts,English,1,,Beginner
Little Ice Cream Amigurumi Crochet Pattern,455,0.00,Toys,Independent Designer,My New Craft Amigurumis,English,1,5,Intermediate
Mini deer,456,1.78,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Flag of Wales,457,2.59,Homeware,Independent Designer,Pukapuka,English,1,4,Intermediate
Cardigan with Side Fastening Buttons,458,3.00,Cardigans,Independent Designer,ThomasinaC,English,1,,Intermediate
Balls of (almost) Any Size,459,0.00,Toys,Independent Designer,Elise Mann,English,1,7,Beginner
"Granny square cotton top ""MEXICO"" crochet pattern",460,4.07,Tops,Independent Designer,Veronika Ryzhkova,English,1,,Beginner
Money Plant,461,2.50,Homeware,Independent Designer,T Jaik,English,1,,Beginner
Ash,462,3.70,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
"""Summertime Shopper"" - Free Bag Crochet Pattern in Paintbox Yarns Cotton DK",463,0.00,"""Summertime Shopper"" - Free Bag Crochet Pattern in Paintbox Yarns Cotton DK",Paintbox Yarns,,English,1,5,Intermediate
Baby blanket,464,2.59,Homeware,Independent Designer,Inez de Goede,Dutch|English,1,12,Beginner
Olive,465,3.00,Toys,Independent Designer,Beau Tripp,English,1,5,Intermediate
Baby Dragon Amigurumi,466,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
The Shannon Cardy,467,5.95,Cardigans,Independent Designer,FuglyLove Creations,English,1,5,Beginner
Casual Summer Top in Caron Simply Soft - Downloadable PDF,468,0.00,Tops,Caron,Diane Moyer,English,1,4,Beginner
Margo Barbie Jumper,469,2.22,Sweaters,Independent Designer,Ngen's Yarn Story,English,1,28,Intermediate
PDF09 Crochet Dress,470,1.61,Dresses,Independent Designer,Truly Crochet,English,1,,
A Bumpy road to love blanket,471,6.00,Homeware,Independent Designer,Addicted 2 The Hook,English,1,,Beginner
Easy Baby Bear Beanie,472,2.00,Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,,Beginner
Baby Elephant,473,0.74,Baby Elephant,Independent Designer,Kerri's Crochet,English,1,26,Beginner
Baby’s First Cluster Crochet Hat in Caron Simply Soft - Downloadable PDF,474,0.00,Hats,Caron,,English,1,2,Beginner
Colourful Party Hat,475,0.86,Accessories,Independent Designer,Reimy Johanna Designs,English,1,4,Beginner
Citrus Slice Coasters in Lily Sugar 'n Cream Solids - Downloadable PDF,476,0.00,Decorations,Lily Sugar 'n Cream,,English,3,1,Beginner
Granny Triangle Scarf,477,1.12,Accessories,Independent Designer,RaffamusaDesigns,English,1,,Beginner
Hello Kitty Backpack,478,2.89,Accessories,Independent Designer,SweetSamDesign,English,1,9,Intermediate
Crochet purse pattern: The Brown Bliss handbag,479,4.81,Accessories,Independent Designer,Mirrymas,English,1,17,Intermediate
"Cat Crochet Pattern, Crochet Cat Pattern Free,Free Crochet Patterns,Crochet Animals,Crochet For Beginners",480,0.00,Toys,Independent Designer,Kathy Leung,English,1,5,Beginner
Five Currant Buns,481,4.00,Toys,Independent Designer,TatieSoftToys,English,1,21,Intermediate
Halter Ruffle dress,482,7.78,Dresses,Independent Designer,Loster crochets,English,1,30,Intermediate
Teeny Weeny Crochet Cap in Caron Simply Soft - Downloadable PDF,483,0.00,Hats,Caron,,English,1,1,Beginner
Mosaic Goldfish,484,2.95,Toys,Independent Designer,Sweet Softies,English,1,15,Beginner
Creta Top in Adriafil Spice - Downloadable PDF,485,0.00,Tops,Adriafil,,English,1,2,
Plubby the puffin,486,5.58,Toys,Independent Designer,Son's Popkes,English,1,8,Intermediate
Oceana Bikini,487,0.00,Tops,Independent Designer,Emma Adams,English,1,11,Intermediate
Woolly Mammoth Amigurumi,488,5.92,Homeware,Independent Designer,Leisure Arts,English,1,,Intermediate
CROCHET Giraffe Baby Blanket,489,3.40,Homeware,Independent Designer,Pattern World,English,1,6,Intermediate
Lovely Sea Flower Summer Top,490,4.59,Tops,Independent Designer,Jie,English,1,6,Beginner
Ava The Butterfly in Lion Brand Wool Ease - M22281WE - Downloadable PDF,491,0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Carrot,492,2.29,Toys,Independent Designer,Little Conkers,English,1,12,Beginner
Snowbird Tunisian Sweater,493,3.70,Sweaters,Independent Designer,Kristine Mullen,English,1,,Intermediate
Mesmer Tunisian Veils,494,5.75,Accessories,Independent Designer,Vashti Braha,English,1,8,Intermediate
"""Zachary the Frog"" - Free Crochet Pattern For Toys in Paintbox Yarns Simply DK - 011",495,0.00,Toys,Paintbox Yarns,Lucy Collins,English,1,6,Intermediate
Rupert The Bear Crochet Pattern,496,2.50,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
Kosmos Shawl Poncho,497,4.07,Accessories,Independent Designer,Natalia Kononova,English,1,11,Intermediate
Baby Flamingo,498,2.96,Toys,Independent Designer,Michelle Alvarez,English,1,8,Beginner
Crochet Jumper SYDNEY #1,499,3.02,Sweaters,Independent Designer,ParkaDesigns,English,1,7,Intermediate
Chelsea flower show cushion cover,500,5.00,Cushions,Independent Designer,KATE EASTWOOD,English,1,10,Intermediate
Queen Pullover in Adriafil Jumping - Downloadable PDF,501,0.00,Jumpers,Adriafil,,English,1,2,
Grey Bath Mat,502,1.18,Homeware,Independent Designer,Filamira,Danish|English,1,3,Beginner
Crochet Bustier top,503,4.44,Tops,Independent Designer,Fabiana Correa,English,1,11,Intermediate
Idlewild Dress - women's sizes,504,5.55,Dresses,Independent Designer,Jess Coppom Make & Do Crew,English,1,25,Intermediate
Silent Night Cardigan,505,5.92,Cardigans,Independent Designer,Janine Myska,English,1,7,Beginner
309 Reindeer decor,506,2.00,Homeware,Independent Designer,LittleOwlsHut,English,1,19,Beginner
Baby Romper Outfit,507,5.00,Accessories,Independent Designer,Margaret Whisnant,English,1,19,Intermediate
Summer Sweater Top,508,4.49,Jumpers,Independent Designer,Angela Plunkett,English,1,,Intermediate
Tractor Sweater,509,4.79,Sweaters,Independent Designer,Svenjas Stitches,English,1,,Intermediate
EASY BEGINNER' Bobble Baby Blanket,510,2.21,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,,Beginner
Filigree Lace Shrug,511,3.70,Boleros,Independent Designer,Adrienne Lash,English,1,,Intermediate
Tumbling Shells Scarf,512,3.33,Accessories,Independent Designer,Cheryl Chow,English,1,3,Intermediate
Super Simple Cotton Coasters,513,1.85,Homeware,Independent Designer,Island Style Crochet,English,1,2,Beginner
Sun & Rainbow Key Chains Crochet Pattern,514,0.00,Homeware,Independent Designer,Crossmanknits,English,1,,Intermediate
Crochet poppy. Flower brooch. Remembrance poppy,515,3.35,Accessories,Independent Designer,Angelika Liusinska,English,1,13,Intermediate
Taylor Swift The Eras Tour Inspired Poster Blanket,516,6.50,Homeware,Independent Designer,Crochet Bouquet,Diagrams/chartsonly|suitableforalllanguages,1,33,Intermediate
Posh Handbag Mirjana S in Hoooked Zpagetti Solids,517,0.00,Posh Handbag Mirjana S in Hoooked Zpagetti Solids,Hoooked,,English,1,1,Beginner
Penis amigurumi,518,3.33,Toys,Independent Designer,Vitastoys,English,1,19,Intermediate
Like a mermaid maxi skirt,519,5.18,Like a mermaid maxi skirt,Independent Designer,Ana D,English,1,,Beginner
Octopus Swirls,520,6.66,Homeware,Independent Designer,Tessellated Heart,English,1,19,Intermediate
Pocket Mouse Doll,521,2.95,Toys,Independent Designer,Sweet Softies,English,1,,Beginner
Summer Shorts crochet pattern,522,0.00,Summer Shorts crochet pattern,Independent Designer,Sandi Hagan,English,1,,Intermediate
Easy Crochet Bag Pattern,523,2.59,Accessories,Independent Designer,Rhinestone Mumma Crochet,English,1,16,Beginner
Sunny the Elephant,524,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
"Crochet Pattern: Halloween Characters – Scarecrow, Skeleton, Witch, Mummy and Zombie Crochet Dolls (English)",525,3.90,Toys,Independent Designer,Kristine Kuluka,English,1,31,Intermediate
Mario by AradiyaToys,526,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Polish|Portuguese|Russian|Spanish|Swedish,1,33,Intermediate
Beaded Tealight Holder,527,3.99,Homeware,Independent Designer,Merrian Holland,English,1,8,Beginner
Vienna Top,528,4.99,Tops,Independent Designer,BabyCrochetDesigns,English,1,23,Intermediate
Shelly Lace Cover up,529,4.41,Tops,Independent Designer,Crochetlovemelbourne,English,1,15,Intermediate
Sunflower Power Coasters,530,0.00,Homeware,Independent Designer,Ira Rott,English,1,3,Beginner
Cat Door Stopper in Lion Brand 24/7 Cotton - M23014 TC - Downloadable PDF,531,0.00,Accessories,Lion Brand,Lion Brand,English,1,5,Beginner
Easy Slip On Jumper - Free Crochet Pattern For Women in Paintbox Yarns Baby DK,532,0.00,Sweaters,Paintbox Yarns,,English,1,5,Beginner
Zaria Duster,533,5.18,Sweaters,Independent Designer,Alex .,English,1,6,Beginner
Ender Dragon,534,9.03,Toys,Independent Designer,Galina Litvinova,English,1,29,Advanced
Amigurumi Indian Ringneck Parrot,535,4.74,Toys,Independent Designer,Mevlinn Gusick,English,1,,Intermediate
Granny Square Balaclava,536,2.96,Accessories,Independent Designer,Oxana Sorokin,English,1,6,Intermediate
Weeping Rainbows Blanket,537,3.72,Homeware,Independent Designer,Layla's Wolf,English,1,8,Beginner
Easy Crochet HALTER Bohemian MIDI Dress.,538,8.07,Dresses,Independent Designer,ThePoshCrochet,English,1,27,Intermediate
Happy Flower,539,0.00,Homeware,Independent Designer,Hattie Risdale,English,1,5,Beginner
Parthenon Placemat Mosaic Crochet,540,4.44,Homeware,Independent Designer,Claire Musson,English,1,23,Intermediate
Cape Sleeved Cardi in Caron Simply Soft Light - Downloadable PDF,541,0.00,Cardigans,Caron,Kim Guzman,English,1,3,Beginner
PRINCE ALBERT Floral Panel,542,1.48,Homeware,Independent Designer,The Floral Hook,English,1,24,Intermediate
Teddy Bear Animal Baby Beanie Hat,543,3.00,Hats,Independent Designer,Wistfully Woolen,English,1,7,Beginner
Owl Softie,544,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,4,Beginner
BISCOTTI Tote Bag,545,3.45,Accessories,Independent Designer,PLEXTOPATTERN,English,1,,Intermediate
Uaine,546,2.59,Jackets,Independent Designer,Caroline Murphy,English,1,5,Intermediate
Grumpy Mini Octopus,547,0.00,Grumpy Mini Octopus,Independent Designer,@kirby_crochets,English,1,4,Intermediate
DJ Set Bucket Hat in Sirdar Stories DK in Sirdar - 10560 - Downloadable PDF,548,0.00,Hats,Sirdar,,English,2,4,Beginner
The Wren Tank+ Tee,549,3.70,Tops,Independent Designer,Ashley Cobb,English,1,,Beginner
Adore Me Baby Blanket,550,2.22,Homeware,Independent Designer,Seona Roberts,English,1,,Beginner
Starburst Blankie in Lion Brand Mandala Baby - Downloadable PDF,551,0.00,Blankets,Lion Brand,Teresa Chorzepa,English,1,7,Beginner
Sampler Filet Blanket,552,3.45,Homeware,Independent Designer,Avondale Patterns by Ruth Teskey,English,1,6,Beginner
Zuma Pup Paw Patrol Crochet Pattern,553,3.80,Toys,Independent Designer,Kristine Kuluka,English,1,12,Intermediate
Super Chunky Hexagon Cardigan,554,0.00,Cardigans,Independent Designer,Michelle Greenberg,English,1,3,Beginner
Little Bird Amigurumi,555,3.10,Toys,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Crochet Granny Square Cardigan Coat Duster,556,6.59,Cardigans,Independent Designer,ThePoshCrochet,English,1,27,Intermediate
Whale Shark,557,0.00,Toys,Independent Designer,@kirby_crochets,English,1,4,Intermediate
Westie Cushion,558,4.50,Cushions,Independent Designer,Little Doolally,English,1,10,Intermediate
Roger,559,1.77,Jumpers,Independent Designer,Sheep Can't Knit or Crochet,English,1,,Intermediate
Go Dog Beans Green Dog Amigurumi,560,6.66,Toys,Independent Designer,HookingCuteCreations,English,1,7,Intermediate
Angel Stitch amigurumi,561,4.07,Toys,Independent Designer,Vitastoys,English,1,65,Intermediate
Breton Cardigan in Berroco Modern Linen - Downloadable PDF,562,6.29,Cardigans,Berroco,,English,1,9,Intermediate
Hello Kitty amigurumi,563,0.00,Toys,Independent Designer,Fluflu,English|Spanish,1,14,Intermediate
'Pippin' 3 Piece set with 8 sizes from Premature to 24 Months,564,5.50,Booties,Independent Designer,Caroline Richards,English,1,8,Intermediate
Yip Yips (crochet),565,0.00,Homeware,Independent Designer,Carissa Browning,English,1,7,Beginner
Unicorn Applique,566,1.85,Unicorn Applique,Independent Designer,Little Bamboo Handmade,English|French|German,1,24,Beginner
Feather Brushed Hat,567,3.04,Hats,Independent Designer,Rachy Knits Rachel Kleynhans,English,1,4,Intermediate
Evil Eye Granny Square,568,0.00,Homeware,Independent Designer,Crochet Dahlia,English,1,3,Beginner
Thea - Tunic Crochet Pattern For Women in Debbie Bliss Piper by Debbie Bliss,569,3.50,Sweaters,Debbie Bliss,Debbie Bliss,English,1,5,Advanced
Stylecraft Specials Pattern E-Book - Downloadable PDF,570,2.79,Cardigans,Stylecraft,,English,8,12,Intermediate
Winter Beanie,571,0.00,Accessories,Independent Designer,madebylisek,English,1,,Beginner
Crochet Tote Handle Bag,572,2.35,Accessories,Independent Designer,isWoolish,English,1,15,Intermediate
Dreamsicle Tee,573,2.95,Tops,Independent Designer,Sigoni Macaroni,English,1,,Beginner
Trio of Baby Blankets,574,7.75,Homeware,Independent Designer,KATE EASTWOOD,English,1,12,Intermediate
"Landyn Tahj Square, a Legacy Square",575,0.00,"Landyn Tahj Square, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,10,Intermediate
Monty 2 the marmot,576,5.58,Toys,Independent Designer,Son's Popkes,English,1,8,Beginner
Granny Christmas Tree,577,5.00,Homeware,Independent Designer,Squibblybups,English,1,7,Intermediate
"Macey Ann Square, a Legacy Square",578,0.00,Homeware,Independent Designer,A Yarn of Serendipity,English,1,10,Intermediate
"New Baby Matinee Coat,Booties,Beanie and Bear",579,2.95,Toys,Independent Designer,madmonkeyknits,English,1,16,Beginner
Tunisian Crochet Stashbuster Shrug,580,3.45,Cardigans,Independent Designer,Haekelgold,English,1,,Beginner
Classic Shell Stitch Vest - PW-205,581,2.95,Waistcoats,Independent Designer,Nancy Brown,English,1,8,Intermediate
Brooklyn Chunky Sweater,582,2.74,Sweaters,Independent Designer,For The Frills | Grace,English,1,,Beginner
Coziest Crochet Cardigan in Patons Classic Wool Worsted - PAC0129-007903M - Downloadable PDF,583,0.00,Cardigans,Patons US,Patons Design Team,English,1,3,Intermediate
Crochet BEE,584,1.48,Toys,Independent Designer,My Crochet,English,1,4,Intermediate
Baby Blanket in Bernat Alize Blanket-EZ - Downloadable PDF,585,0.00,Blankets,Bernat,,English,1,2,Beginner
Shelly Strappy Top in Sirdar Stories - Downloadable PDF,586,3.95,Tops,Sirdar,,English,1,8,Advanced
Noëlle Blanket,587,2.54,Homeware,Independent Designer,Haak Maar Raak,Dutch|English,1,28,Intermediate
Pocket Otter,588,2.21,Toys,Independent Designer,Sweet Softies,English,1,,Beginner
Breast Boobie Boob model 2,589,2.59,Toys,Independent Designer,Vitastoys,English,1,12,Intermediate
Cosmos High Neck Halter Top,590,0.00,Tops,Independent Designer,Amanda Maciel,English,1,,Beginner
"Crochet Doll Pattern, Amigurumi doll pattern, Large doll, 21""/53cm, Lily",591,5.18,Toys,Independent Designer,LetoDollsCrochet,English|Spanish,1,26,Intermediate
Granny Square Dress,592,2.88,Dresses,Independent Designer,Bobo Stitches,English,1,12,Intermediate
Horace The Stegosaurus Amigurumi Pattern,593,3.50,Toys,Independent Designer,Irene Strange,English,1,5,Intermediate
Heart Blanket,594,5.17,Homeware,Independent Designer,Marina Nikolaidou,English,1,19,Beginner
Octopus,595,0.00,Toys,Independent Designer,The Cat and Wool,English,1,3,Beginner
Elephant Filet Crochet Blanket,596,4.00,Homeware,Independent Designer,Doodlepipmakes,English,1,4,Beginner
My Only Sunshine,597,3.70,Homeware,Independent Designer,Gleeful Crocheting,English,1,,Beginner
Stitched Up Make Up Scrubbies,598,0.00,Homeware,Independent Designer,Stitchedupcraft,English,1,8,Beginner
Granny Square Bunny,599,5.50,Toys,Independent Designer,Linda Morris Tomlin,English,1,4,Beginner
Chibi Baby Alien,600,0.00,Toys,Independent Designer,KawaiiNerdyCrochet,English,1,,Intermediate
Bulbasaur by AradiyaToys,601,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Portuguese|Russian|Spanish,1,27,Intermediate
Harry the Highland Cow Amigurumi,602,2.59,Toys,Independent Designer,HookingCuteCreations,English,1,7,Intermediate
Fleur Market Bag,603,3.88,Accessories,Independent Designer,Elderberry Farm Crafts,English,1,5,Beginner
Squishy Pickle Party,604,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,12,Intermediate
Beginner Shawl With Pockets,605,3.70,Accessories,Independent Designer,Joy of Motion Crochet | Janne K,English,1,,Beginner
Mauve-A-Lous Duster Cardi,606,4.44,Cardigans,Independent Designer,MJsOffTheHook,English,1,9,Intermediate
Favourite Things Collection Ebook - Knitting & Crochet Patterns in Debbie Bliss Rialto 4ply and Baby Cashmerino,607,8.00,Jackets,Debbie Bliss,Debbie Bliss,English,7,19,Advanced
Summer Breeze,608,2.96,Accessories,Independent Designer,Oxana Sorokin,English,1,4,Beginner
Poppy bookmark or decor,609,2.14,Homeware,Independent Designer,LittleOwlsHut,English,1,11,Intermediate
Diamond Mittens,610,3.68,Accessories,Independent Designer,Moogly,English,1,,Intermediate
Simple Seed Stitch Beanie,611,4.44,Accessories,Independent Designer,Kirsten Holloway,English,1,,Beginner
Free Amigurumi Elephant Crochet Pattern,612,0.00,Toys,Independent Designer,Viktorija Dineikiene,Danish|Dutch|English|French|Spanish,1,,Beginner
"Snuggly Baby Cardigan, Hat & Mittens",613,4.90,Hats,Independent Designer,Precious Newborn Knits,English,1,5,Intermediate
Crocheted Pullover in Lana Grossa Gomitolo Puno - 08 - Downloadable PDF,614,0.00,Sweaters,Lana Grossa,,English,1,3,Intermediate
"Crochet Pattern for Baby Blanket, Hat and Booties",615,1.19,Homeware,Independent Designer,TatjanaBoutique,English,1,5,Intermediate
Zero Ghost Dog,616,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Crochet Stuffed Hearts,617,2.00,Homeware,Independent Designer,Rossi,English,1,3,Beginner
Wedding Day Rose,618,0.00,Wedding Day Rose,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Bonbon Baby Blanket,619,4.00,Homeware,Independent Designer,Veronika Cromwell,English,1,,Beginner
Crochet Headband 432,620,4.44,Accessories,Independent Designer,Posh Patterns,English,1,,Intermediate
Peachy Keen Blanket,621,5.00,Homeware,Independent Designer,Little Duck Crochet,English,1,,Intermediate
Crochet Paper Chain Christmas Decorations,622,3.50,Homeware,Independent Designer,D D Wilder,English,1,3,Beginner
Annemaries Flower Ebook,623,0.00,Annemaries Flower Ebook,Independent Designer,Annemarie Benthem,English,1,24,Beginner
Easy Crochet Scarf Pattern for Women: Pink-Is-Pretty Scarf,624,4.07,Accessories,Independent Designer,KnotYourselfOut,English,1,,Beginner
Pixie pocket pouch,625,0.00,Accessories,Independent Designer,Ola Ogunlolu,English,1,3,Beginner
Crochet Baby Blanket in Bernat Baby Sport,626,0.00,Blankets,Bernat,,English,1,,
Simple Crop Top,627,3.88,Tops,Independent Designer,Swool Nordic Design,English,1,8,Beginner
Easy African Daisy,628,1.11,Homeware,Independent Designer,Stouto Creative Crochet,English,1,5,Beginner
Crochet Tops RUSTICHELLO #1,629,3.10,Tops,Independent Designer,ParkaDesigns,English,1,5,Beginner
Elaine Baby Hat | Easy Newborn Beanie,630,2.94,Hats,Independent Designer,Elaine's Collection,English,1,,Beginner
Crocheted Moomins,631,0.00,Toys,Independent Designer,CatKnit,English,1,4,Intermediate
Owl Amigurumi,632,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Adult Love my Granny Pullover,633,4.80,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,30,Intermediate
Bernard the Dinosaur - Free Toy Crochet Pattern For Halloween in Paintbox Yarns Cotton Aran by Paintbox Yarns,634,0.00,Toys,Paintbox Yarns,,English,1,5,Intermediate
The Waterlily Lace Top,635,0.00,Tops,Independent Designer,Michelle Greenberg,English,1,5,Beginner
Long and Short Sleeved Cardigans in Sirdar Country Style 4Ply - 7887 - Downloadable PDF,636,3.85,Cardigans,Sirdar,,English,2,6,Intermediate
Tiger Mosaic Backpack/ Bag,637,4.07,Accessories,Independent Designer,Natalia Kononova,English,1,46,Advanced
Blanket and Booties in Bernat Softee Baby Solids,638,0.00,Accessories,Bernat,,English,2,,
Jack and Jill Baby Cardigan,639,3.50,Cardigans,Independent Designer,LinksnLoops.com,English,1,4,Intermediate
Coastal Cropped Tank Top,640,0.00,Tops,Independent Designer,Chezpascale,English,1,4,Beginner
Crochet Sunflower pattern,641,4.31,Crochet Sunflower pattern,Independent Designer,Emčaaaaa,English,1,4,Intermediate
"""Garden Garland"" - Accessory Crochet Pattern For Home in Paintbox Yarns Simply DK",642,0.00,Accessories,Paintbox Yarns,Annemarie Benthem,English,9,6,Beginner
Pick and Mix Cardigan,643,4.99,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,31,Intermediate
Cool Shirt - Free Crochet Pattern for Women in Paintbox Yarns Cotton Mix DK by Paintbox Yarns,644,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Rainbow crochet wall hanging,645,4.29,Homeware,Independent Designer,ChicaOutlet,English|Spanish,1,36,Beginner
White Lace Baby Blanket,646,4.00,Homeware,Independent Designer,Hannah Cross,English,1,4,Intermediate
Oddish by AradiyaToys,647,0.00,Toys,Independent Designer,AradiyaToys,English|French|German|Russian|Spanish,1,18,Intermediate
Liv Granny Square Adults Top,648,2.66,Tops,Independent Designer,isWoolish,English,1,31,Beginner
Halcyon Keychain,649,4.44,Accessories,Independent Designer,Christina Smith,English,1,10,Beginner
Basic Granny Square,650,0.00,Basic Granny Square,Independent Designer,Crafty Creations,English,1,1,Beginner
Cape with Hood # 395,651,4.07,Ponchos,Independent Designer,Meadowvale Studio,English,1,16,Intermediate
Crochet Cherry Blossom,652,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,,Beginner
Beleza Bralette,653,4.74,Tops,Independent Designer,Travelling Threads Crochet,English,1,,Intermediate
Brightest Star Blanket UK,654,4.25,Homeware,Independent Designer,Kerry Jayne Designs,English,1,15,Intermediate
Balloon Sleeve Bomber,655,4.13,Cardigans,Independent Designer,KingAndEye,English,1,11,Beginner
Little Bear Hooded Baby Blanket #157,656,4.07,Homeware,Independent Designer,Cali Chic Baby,English,1,12,Intermediate
2 1/2 Hour Nap,657,0.00,Cardigans,Independent Designer,MADuNaier,English,1,6,Intermediate
Unraveled sheep bookmark,658,1.94,Homeware,Independent Designer,Justyna Kacprzak,English,1,,Intermediate
Shrek Amigurumi,659,0.00,Toys,Independent Designer,Ternura Amigurumi,English,1,8,Intermediate
Pig Bookmark Crochet Pattern,660,3.62,Toys,Independent Designer,Supergurumi,Dutch|English|French|German|Spanish,1,36,Intermediate
Amigurumi big bear,661,1.72,Toys,Independent Designer,D&I CREATIONS,English,1,,Beginner
Octopi the little octopus - critter stitch crochet pattern / amigurumi,662,3.77,Toys,Independent Designer,Critter Stitch,English,1,8,Intermediate
Easy Street Hat in Caron Simply Soft - Downloadable PDF,663,0.00,Hats,Caron,,English,1,2,Beginner
Bear Love Blanket,664,4.75,Homeware,Independent Designer,Kerry Jayne Designs,English,1,30,Beginner
Round bag with raffia yarn,665,3.33,Accessories,Independent Designer,Anna Kuznietsova,English,1,,Beginner
Happy Sun hat,666,2.45,Accessories,Independent Designer,Kerry Jayne Designs,English,1,7,Beginner
Checked Blanket in Bernat Bernat Alize Blanket-EZ - Downloadable PDF,667,0.00,Blankets,Bernat,,English,1,2,Beginner
Almaith,668,3.45,Tops,Independent Designer,Caroline Murphy,English,1,4,Intermediate
Crochet dog Pattern Puppy Dog Amigurumi Pattern for Beginners PDF,669,2.59,Amigurumi,Independent Designer,Preppy Owl Patterns,English,1,,Beginner
Harlequin Shawl in Caron Simply Soft & Simply Soft Paints - Downloadable PDF,670,0.00,Shawls,Caron,Margret Willson,English,1,2,Beginner
Double Knit Baby Bear Beanie,671,3.50,Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,,Intermediate
Lightweight cardigan,672,3.70,Cardigans,Independent Designer,KnitcroAddict,English,1,5,Beginner
Cardigan sweater,673,3.70,Cardigans,Independent Designer,KnitcroAddict,English,1,5,Beginner
Blanket in Hayfield Baby Blossom DK - 5231 - Downloadable PDF,674,3.85,Blankets,Hayfield,Sirdar,English,1,2,Intermediate
Tiny the Triceratops,675,4.00,Toys,Independent Designer,The Clumsy Unicorn,English,1,22,Beginner
City Chic Fold Over Shrug,676,4.50,Boleros,Independent Designer,Nicole Wang,English,1,,Beginner
Canadian Maple Leaf Coaster,677,0.00,Homeware,Independent Designer,Ira Rott,English,1,8,Intermediate
Pyramid Doorstop,678,3.50,Homeware,Independent Designer,Veronika Cromwell,English,1,,Beginner
Chevron Dip,679,3.70,Tops,Independent Designer,Detroit Knots,English,1,,Intermediate
Mughetto Top in Adriafil Rafia - Downloadable PDF,680,0.00,Tops,Adriafil,,English,1,2,
Squarey Sweater,681,4.80,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,25,Intermediate
Grim Reaper,682,2.96,Toys,Independent Designer,AnnieCraft,English,1,9,Beginner
Crochet Round Little Cotton Facial Cleaning Pads,683,3.50,Homeware,Independent Designer,D D Wilder,English,1,2,Beginner
